,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
0,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Male,Prefer not to answer,New England
1,Somewhat worried,Very worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,18 - 29,Male,"$75,000 to $99,999",East North Central
2,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,18 - 29,Male,"$10,000 to $24,999",Pacific
3,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,18 - 29,Male,"$25,000 to $49,999",West South Central
4,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Extremely familiar,18 - 29,Male,"$200,000 and up",Middle Atlantic
5,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,18 - 29,Male,"$25,000 to $49,999",East North Central
6,Very worried,Not at all worried,Yes,"Yes, one or more major ones",Yes,,,,,,
7,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,South Atlantic
8,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,East North Central
9,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not so familiar,18 - 29,Male,"$10,000 to $24,999",East North Central
10,Not at all worried,Not so worried,No,"Yes, one or more major ones",No,Somewhat familiar,Not so familiar,18 - 29,Male,"$50,000 to $74,999",West North Central
11,Not at all worried,Not at all worried,No,No,No,Extremely familiar,Extremely familiar,18 - 29,Male,"$25,000 to $49,999",East South Central
12,Extremely worried,Very worried,Yes,,,,,,,,
13,Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Male,"$0 to $9,999",Pacific
14,Not so worried,Not so worried,No,No,No,Very familiar,Somewhat familiar,18 - 29,Male,"$100,000 to $124,999",New England
15,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$50,000 to $74,999",East North Central
16,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$25,000 to $49,999",East North Central
17,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,18 - 29,Male,"$75,000 to $99,999",East North Central
18,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",Pacific
19,Very worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Male,"$10,000 to $24,999",Pacific
20,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$50,000 to $74,999",Mountain
21,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Very familiar,30 - 44,Male,"$75,000 to $99,999",South Atlantic
22,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,18 - 29,Male,"$50,000 to $74,999",Middle Atlantic
23,Not so worried,Very worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Male,"$75,000 to $99,999",Middle Atlantic
24,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",East North Central
25,Extremely worried,Extremely worried,No,No,No,Not so familiar,Not so familiar,18 - 29,Male,"$10,000 to $24,999",
26,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Male,"$75,000 to $99,999",East North Central
27,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Extremely familiar,Not so familiar,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
28,Somewhat worried,Very worried,No,No,No,Very familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",East North Central
29,Not so worried,Not so worried,No,No,No,Not so familiar,Not at all familiar,18 - 29,Male,"$25,000 to $49,999",South Atlantic
30,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,18 - 29,Male,"$25,000 to $49,999",East North Central
31,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,18 - 29,Male,"$0 to $9,999",East North Central
32,Not at all worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",
33,Not so worried,Not so worried,Yes,No,No,Not so familiar,Somewhat familiar,18 - 29,Male,"$10,000 to $24,999",
34,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$100,000 to $124,999",East South Central
35,Not at all worried,Not at all worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,18 - 29,Male,"$10,000 to $24,999",Pacific
36,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$175,000 to $199,999",New England
37,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Not so familiar,18 - 29,Male,"$0 to $9,999",West North Central
38,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,18 - 29,Male,"$125,000 to $149,999",Pacific
39,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,30 - 44,Male,"$75,000 to $99,999",East North Central
40,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Not at all familiar,Not at all familiar,30 - 44,Male,"$25,000 to $49,999",
41,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not so familiar,18 - 29,Male,"$100,000 to $124,999",Mountain
42,Not so worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,45 - 59,Male,"$50,000 to $74,999",Pacific
43,Very worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Not so familiar,Very familiar,45 - 59,Male,"$10,000 to $24,999",Pacific
44,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,18 - 29,Male,"$50,000 to $74,999",Pacific
45,Not at all worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,18 - 29,Male,"$0 to $9,999",Pacific
46,Not so worried,Very worried,Yes,No,Yes,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$0 to $9,999",West South Central
47,Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,30 - 44,Male,"$200,000 and up",Mountain
48,Not at all worried,Not at all worried,No,No,No,Extremely familiar,Extremely familiar,18 - 29,Male,"$75,000 to $99,999",South Atlantic
49,Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Very familiar,30 - 44,Male,"$150,000 to $174,999",Middle Atlantic
50,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$10,000 to $24,999",Middle Atlantic
51,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Somewhat familiar,45 - 59,Male,"$200,000 and up",Pacific
52,Not at all worried,Not at all worried,No,No,No,Very familiar,Very familiar,30 - 44,Male,"$10,000 to $24,999",West North Central
53,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Male,"$50,000 to $74,999",East South Central
54,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,30 - 44,Male,"$0 to $9,999",East North Central
55,Extremely worried,Extremely worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$75,000 to $99,999",East North Central
56,Very worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Male,Prefer not to answer,Pacific
57,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,Prefer not to answer,West North Central
58,Very worried,Very worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Male,Prefer not to answer,Pacific
59,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",West South Central
60,Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Very familiar,Somewhat familiar,45 - 59,Male,"$200,000 and up",Pacific
61,Somewhat worried,Very worried,No,No,No,Somewhat familiar,Very familiar,18 - 29,Male,Prefer not to answer,Pacific
62,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Very familiar,18 - 29,Male,Prefer not to answer,Pacific
63,Somewhat worried,Very worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Male,"$100,000 to $124,999",Pacific
64,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Male,Prefer not to answer,Pacific
65,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,45 - 59,Male,"$125,000 to $149,999",Pacific
66,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,30 - 44,Male,"$25,000 to $49,999",Pacific
67,Very worried,Very worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Male,Prefer not to answer,Pacific
68,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Very familiar,45 - 59,Male,"$75,000 to $99,999",Pacific
69,Not so worried,Somewhat worried,Yes,No,Yes,Somewhat familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
70,Somewhat worried,Very worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,Pacific
71,Extremely worried,Extremely worried,Yes,No,No,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
72,Very worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,18 - 29,Male,"$25,000 to $49,999",Pacific
73,Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,18 - 29,Male,"$25,000 to $49,999",Pacific
74,Somewhat worried,Somewhat worried,No,No,No,Not at all familiar,Not at all familiar,30 - 44,Male,Prefer not to answer,Pacific
75,Somewhat worried,Somewhat worried,Yes,No,Yes,Somewhat familiar,Very familiar,45 - 59,Male,Prefer not to answer,Pacific
76,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",South Atlantic
77,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Not at all familiar,30 - 44,Male,"$10,000 to $24,999",Pacific
78,Very worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Very familiar,18 - 29,Male,"$0 to $9,999",West North Central
79,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$0 to $9,999",West North Central
80,Not at all worried,Not at all worried,No,No,No,Very familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",West North Central
81,Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Not so familiar,Somewhat familiar,30 - 44,Male,"$10,000 to $24,999",East South Central
82,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,18 - 29,Male,"$100,000 to $124,999",Pacific
83,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Male,Prefer not to answer,Pacific
84,Extremely worried,Extremely worried,Yes,No,Yes,Very familiar,Extremely familiar,30 - 44,Male,"$10,000 to $24,999",Middle Atlantic
85,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$200,000 and up",Pacific
86,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",Pacific
87,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,18 - 29,Male,"$0 to $9,999",
88,Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,30 - 44,Male,Prefer not to answer,West South Central
89,Not so worried,Not so worried,No,No,No,Very familiar,Not so familiar,45 - 59,Male,Prefer not to answer,South Atlantic
90,Somewhat worried,Somewhat worried,No,No,Yes,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$10,000 to $24,999",
91,Very worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,30 - 44,Male,"$200,000 and up",Pacific
92,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Very familiar,45 - 59,Male,"$125,000 to $149,999",Middle Atlantic
93,Extremely worried,Extremely worried,No,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,45 - 59,Male,Prefer not to answer,East North Central
94,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
95,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
